PALABRA_RESERVADA('main') en línea 1, columna 1
ESPECIAL('{') en línea 1, columna 6
PALABRA_RESERVADA('float') en línea 2, columna 5
IDENTIFICADOR('base') en línea 2, columna 11
ESPECIAL(';') en línea 2, columna 15
PALABRA_RESERVADA('float') en línea 3, columna 5
IDENTIFICADOR('altura') en línea 3, columna 11
ESPECIAL(';') en línea 3, columna 17
PALABRA_RESERVADA('float') en línea 4, columna 5
IDENTIFICADOR('perimetro') en línea 4, columna 11
ESPECIAL(';') en línea 4, columna 20
PALABRA_RESERVADA('float') en línea 5, columna 5
IDENTIFICADOR('area') en línea 5, columna 11
ESPECIAL(';') en línea 5, columna 15
PALABRA_RESERVADA('cin') en línea 8, columna 5
OPERADOR_RELACIONAL('>>') en línea 8, columna 9
IDENTIFICADOR('base') en línea 8, columna 12
ESPECIAL(';') en línea 8, columna 16
PALABRA_RESERVADA('cin') en línea 9, columna 5
OPERADOR_RELACIONAL('>>') en línea 9, columna 9
IDENTIFICADOR('altura') en línea 9, columna 12
ESPECIAL(';') en línea 9, columna 18
IDENTIFICADOR('perimetro') en línea 12, columna 5
OPERADOR_ASIGNACION('=') en línea 12, columna 15
NUMERO_ENTERO('2') en línea 12, columna 17
OPERADOR_ARITMETICO('*') en línea 12, columna 19
ESPECIAL('(') en línea 12, columna 22
IDENTIFICADOR('base') en línea 12, columna 23
OPERADOR_ARITMETICO('+') en línea 12, columna 28
IDENTIFICADOR('altura') en línea 12, columna 31
ESPECIAL(')') en línea 12, columna 37
ESPECIAL(';') en línea 12, columna 38
IDENTIFICADOR('area') en línea 13, columna 5
OPERADOR_ASIGNACION('=') en línea 13, columna 10
IDENTIFICADOR('base') en línea 13, columna 12
OPERADOR_ARITMETICO('*') en línea 13, columna 17
IDENTIFICADOR('altura') en línea 13, columna 20
ESPECIAL(';') en línea 13, columna 26
PALABRA_RESERVADA('cout') en línea 16, columna 5
OPERADOR_RELACIONAL('<<') en línea 16, columna 10
IDENTIFICADOR('perimetro') en línea 16, columna 13
ESPECIAL(';') en línea 16, columna 22
PALABRA_RESERVADA('cout') en línea 17, columna 5
OPERADOR_RELACIONAL('<<') en línea 17, columna 10
IDENTIFICADOR('area') en línea 17, columna 13
ESPECIAL(';') en línea 17, columna 17
ESPECIAL('}') en línea 18, columna 1
